Taxa,ala,arg,asp,gln,glu,Gly,his,ile,leu,lys,met,phe,pro,ser,thr,trp,try,val,Total,ShikFam,AspFam,AspFam_Asp,SerFam,GluFam,GluFam_glu,BCAA,PyrFam
1,1.55285213,1.159599715,1.135214834,2.66863819,1.077452458,0.601829621,4.938551727,1.463133897,1.701403458,3.038632645,0.773182013,1.058349579,-1.303646873,-0.36032149,0.766762992,0.875723364,0.725707933,1.350086953,0.279912938,0.973346543,1.207287674,1.207287674,0.085500274,0.594490565,0.902183712,1.16141506,0.970001337
2,1.437586962,1.087713022,1.143047054,2.559740608,1.080287146,0.692580829,4.136824721,1.358744155,1.583880484,2.744641055,0.777948966,1.052234283,-1.293542693,-0.186461897,0.793592626,0.870237052,0.721382685,1.284244678,0.264387526,0.974272126,1.234885078,1.234885078,0.292906604,0.577467824,0.810893931,1.058537812,0.88879378
23,1.215115301,1.132435369,1.08144018,2.803316626,1.078439412,0.569611031,4.994283468,1.437105263,1.746050688,2.964449988,0.786004705,1.046793538,-1.681391458,-0.484669371,0.757443384,0.867044952,0.711870113,1.396461546,0.285301764,0.971393773,1.174997974,1.174997974,-0.047703679,0.596985388,0.96568338,1.192469837,0.856220123
66,1.290342514,1.091359307,1.193448137,2.252744229,1.086294489,0.674318626,4.599928758,1.387625098,1.664254398,2.45696918,0.794025316,1.035288185,-1.286363026,-0.200736286,0.750581854,0.927734035,0.731993333,1.263232359,0.2536423,0.956774055,1.245915377,1.245915377,0.268454249,0.564939148,0.791099645,1.073796115,0.846195974
81,1.593499234,1.129251425,1.185588927,2.65729626,1.082811218,0.584373778,4.145121499,1.475719986,1.771872386,3.075386183,0.772547462,1.051437302,-1.795851372,-0.502238919,0.770833653,0.888139401,0.718580677,1.364949593,0.270107315,0.970054139,1.240766552,1.240766552,-0.024683551,0.581350265,0.905654074,1.189808289,1.002407092
91,1.186780357,1.094256745,1.259463482,2.449904082,1.08553503,0.612706744,4.686324283,1.343665382,1.630007711,2.545725261,0.799440973,1.057963981,-1.272900039,-0.165544997,0.778395327,0.930243461,0.703743319,1.243927493,0.239236812,0.961120168,1.299409403,1.299409403,0.312224545,0.568576145,0.835468552,1.038105549,0.800738672
94,1.272243645,1.152040605,1.176744744,2.386532111,1.083089832,0.656366611,4.729429988,1.456481985,1.74389616,3.019880892,0.758849014,1.04813527,-1.580927142,-0.136473665,0.757444602,0.923066662,0.692831807,1.34072003,0.263871762,0.962833815,1.229726184,1.229726184,0.285397636,0.582482464,0.923606238,1.161595528,0.870023323
96,1.280439743,1.110797106,1.178177503,2.60052439,1.084021518,0.635147894,4.804520138,1.423844969,1.700116645,2.933337007,0.811439247,1.050543309,-1.581227359,-0.25269124,0.764560016,0.896029846,0.723307232,1.305393619,0.263255967,0.966445749,1.235102059,1.235102059,0.192861439,0.577785994,0.895369556,1.118688178,0.865493092
116,1.558380402,1.147519836,1.209281968,2.590687145,1.08031184,0.661365024,4.80665391,1.475092342,1.693728948,2.890940266,0.771227722,1.047641643,-1.576111922,-0.25383894,0.763873668,0.895310354,0.719664211,1.35373601,0.265232743,0.966748322,1.258281614,1.258281614,0.21955165,0.59066727,0.939078147,1.163442084,0.959063953
126,1.037376674,1.094558774,1.148481286,2.405928786,1.087352442,0.827302583,4.064794935,1.499666933,1.783630223,2.614252991,0.761576568,1.036635061,-1.44293717,-0.148575752,0.758385968,0.894488591,0.742908987,1.297623401,0.256061646,0.961008374,1.209567966,1.209567966,0.470362099,0.566235892,0.821823605,1.153666054,0.755358892
149,1.305834379,1.106587063,1.156504247,2.642794525,1.09339454,0.662268629,4.335919424,1.414253948,1.623903499,2.691846921,0.775491507,1.036990802,-1.625185801,-0.177769578,0.773243616,0.851102006,0.718085978,1.309659997,0.257444434,0.973094801,1.224766264,1.224766264,0.272180489,0.554720385,0.88098796,1.099288194,0.863869981
166,1.250325113,1.113159707,1.122352479,2.641557628,1.086975825,0.621977836,4.28772769,1.477947946,1.756209351,2.934514999,0.783233786,1.046245309,-1.737384052,-0.372394258,0.765216235,0.834234266,0.706649661,1.340678312,0.271648094,0.983420609,1.19617037,1.19617037,0.099769456,0.571584264,0.899586184,1.171822173,0.861634676
173,1.500511199,1.10924142,1.140873517,2.675946491,1.086177329,0.626313246,4.994710334,1.490757894,1.740914203,2.900771076,0.77488776,1.063633319,-1.712250152,-0.412668884,0.761943381,0.870508716,0.702276159,1.369189023,0.266418588,0.976082994,1.210754482,1.210754482,0.098262301,0.573462645,0.906607609,1.192038024,0.962008297
178,1.253969972,1.145334404,1.177261787,2.805231197,1.086377523,0.76877372,5.07426992,1.457391803,1.742926923,2.887199988,0.777505765,1.050293031,-1.608315203,-0.050446912,0.755423829,0.86699269,0.715507786,1.346579933,0.261935074,0.973104048,1.229999961,1.229999961,0.458550661,0.576058899,0.980769497,1.166352231,0.875800092
223,1.295173297,1.152865853,1.12060046,2.78499076,1.080688804,0.613987,4.695286378,1.514329342,1.782730699,3.025563545,0.78765778,1.052354377,-1.640982594,-0.390351617,0.762088937,0.873816159,0.718276608,1.376745527,0.28010994,0.974089202,1.194164667,1.194164667,0.084874967,0.591057249,0.985228711,1.214235243,0.900285055
242,1.399031517,1.118594378,1.182816108,2.689709694,1.08113443,0.631469925,4.695714655,1.445947916,1.662386082,2.879707879,0.779596651,1.045300785,-1.605738447,-0.436999862,0.759555581,0.889230377,0.721390214,1.353089857,0.269144826,0.966477933,1.231584337,1.231584337,0.087871808,0.586685791,0.917145892,1.146905302,0.922121086
258,1.597596766,1.145673688,1.157793029,2.845340203,1.076543428,0.686431616,5.252059496,1.448487813,1.707351658,2.940991795,0.755714964,1.053972212,-1.586129595,-0.34151274,0.76054344,0.900033325,0.694947314,1.353646523,0.277736168,0.968280516,1.215987759,1.215987759,0.207457461,0.603157388,0.994804706,1.160474793,0.985749853
