Taxa,ile_BCAA,leu_BCAA,val_BCAA,gln_GluFamCorr,glu_GluFamCorr,his_GluFam,ile_GluFamCorr,leu_GluFamCorr,pro_GluFamCorr,val_GluFamCorr,ala_t,arg_t,asp_t,gln_t,glu_t,Gly_t,his_t,ile_t,leu_t,lys_t,met_t,phe_t,pro_t,ser_t,trp_t,try_t,val_t
1,0.272881588,0.57018409,0.55084976,9.009902069,0.619798204,102.7016705,0.404561218,1.190838769,0.416214756,0.664825528,0.233307059,1.304030637,10.29807365,0.729093987,41.45228533,2.303667226,1.086934329,1.035942158,0.929388661,0.728382425,0.927413078,1.440155864,1.175128617,1.81254681,1.624701296,1.193774029,1.174911229
2,0.30149453,0.57548768,0.517157461,8.878668486,0.573402156,82.7012019,0.433826772,1.181970501,0.397536492,0.670446234,0.23022268,1.364729056,9.497935588,0.722208337,38.62958835,2.564837164,0.93127552,1.089951931,0.900083417,0.712016431,0.914694016,1.426410831,1.144386854,1.848738057,1.604176407,1.150586845,1.181785148
23,0.306944872,0.564800305,0.52658189,9.380076748,0.652017738,102.8648532,0.417835212,1.195011429,0.358925781,0.655235011,0.17064075,1.339334313,8.148180555,0.749037272,44.01602348,2.153348285,1.06463016,1.069873701,0.938808223,0.704693729,0.962126843,1.647920688,1.083633046,1.75706494,1.608219115,1.170808231,1.162947808
66,0.286382086,0.549443265,0.56521478,8.216989853,0.611412461,112.2559909,0.41157873,1.197465156,0.391872546,0.668020176,0.213684188,1.339609181,11.17919797,0.654680877,39.97794533,2.402616696,1.197384281,1.04268753,0.961324804,0.716913771,0.930805122,1.597635833,1.131065653,1.785919892,1.657194781,1.139818719,1.174873291
81,0.280513506,0.555936627,0.562292778,9.243772653,0.647069948,87.60365451,0.392359141,1.204160329,0.340283976,0.651991655,0.259856257,1.320728375,12.23700205,0.741589339,42.84830527,2.152155602,0.936400945,1.010831629,0.980420087,0.762815492,0.913261332,1.473733145,1.043771305,1.678502388,1.631775097,1.154393982,1.152056364
91,0.304432312,0.54846786,0.548794494,8.760777636,0.615135873,108.6840209,0.432977704,1.191791541,0.393214557,0.675670074,0.210550015,1.312965055,15.01812884,0.767950728,34.34132015,2.017124359,1.366130224,1.046720469,0.977197293,0.742212751,0.918144331,1.23192235,1.105305355,1.828625361,1.63787558,1.042177947,1.158339128
94,0.278620498,0.555594252,0.564196596,8.350046187,0.661054018,104.2194787,0.398690228,1.200475742,0.363493392,0.659046606,0.1957326,1.285922718,11.18156924,0.673300031,40.94039646,2.428201449,1.148391491,1.01099759,0.979577396,0.770291006,0.881433122,1.484959036,1.077388613,1.882329222,1.667461464,1.128103312,1.154105279
96,0.279776987,0.556616834,0.562646005,9.134559691,0.646184386,109.8994284,0.406276694,1.197005412,0.360990838,0.665105026,0.196102974,1.332935462,11.11223149,0.741587019,41.37830424,2.334760816,1.177270377,1.03131865,0.960416747,0.751743074,0.975262434,1.434772219,1.078058363,1.802826777,1.638033802,1.146257616,1.168945205
116,0.265174595,0.575038254,0.549574884,8.836488942,0.655219804,101.5216845,0.397857833,1.191007436,0.370451061,0.661495313,0.264906292,1.293270718,13.11798719,0.735465235,39.07951141,2.453496967,1.159395308,0.998961589,0.952346515,0.74106417,0.904328896,1.497443293,1.081799699,1.810088324,1.633457608,1.145226234,1.150345093
126,0.244164966,0.53738208,0.615600699,8.825884831,0.634844957,93.44099781,0.373040944,1.211319624,0.37218052,0.659890345,0.16324164,1.336361523,9.267580081,0.699738347,41.94267948,NaN,0.997608938,0.967756097,1.014093725,0.712942646,0.876769974,1.591230523,1.098642387,1.83248987,1.619230549,1.180354081,1.163260879
