"Taxa","ala","arg","asp","gln","glu","Gly","his","ile","leu","lys","met","phe","pro","ser","thr","trp","try","val","Total","ShikFam","AspFam","AspFam_Asp","SerFam","GluFam","GluFam_glu","BCAA","PyrFam","ile_BCAA","leu_BCAA","val_BCAA","gln_GluFamCorr","glu_GluFamCorr","his_GluFam","ile_GluFamCorr","leu_GluFamCorr","pro_GluFamCorr","val_GluFamCorr","ala_t","arg_t","asp_t","gln_t","glu_t","Gly_t","his_t","ile_t","leu_t","lys_t","met_t","phe_t","pro_t","ser_t","trp_t","try_t","val_t"
"A1",1.55285213,1.159599715,1.135214834,2.66863819,1.077452458,0.601829621,4.938551727,1.463133897,1.701403458,3.038632645,0.773182013,1.058349579,-1.303646873,-0.36032149,0.766762992,0.875723364,0.725707933,1.350086953,0.279912938,0.973346543,1.207287674,1.207287674,0.085500274,0.594490565,0.902183712,1.16141506,0.970001337,0.272881588,0.57018409,0.55084976,9.009902069,0.619798204,102.7016705,0.404561218,1.190838769,0.416214756,0.664825528,0.233307059,1.304030637,10.29807365,0.729093987,41.45228533,2.303667226,1.086934329,1.035942158,0.929388661,0.728382425,0.927413078,1.440155864,1.175128617,1.81254681,1.624701296,1.193774029,1.174911229
"A116",1.558380402,1.147519836,1.209281968,2.590687145,1.08031184,0.661365024,4.80665391,1.475092342,1.693728948,2.890940266,0.771227722,1.047641643,-1.576111922,-0.25383894,0.763873668,0.895310354,0.719664211,1.35373601,0.265232743,0.966748322,1.258281614,1.258281614,0.21955165,0.59066727,0.939078147,1.163442084,0.959063953,0.265174595,0.575038254,0.549574884,8.836488942,0.655219804,101.5216845,0.397857833,1.191007436,0.370451061,0.661495313,0.264906292,1.293270718,13.11798719,0.735465235,39.07951141,2.453496967,1.159395308,0.998961589,0.952346515,0.74106417,0.904328896,1.497443293,1.081799699,1.810088324,1.633457608,1.145226234,1.150345093
"A126",1.037376674,1.094558774,1.148481286,2.405928786,1.087352442,0.827302583,4.064794935,1.499666933,1.783630223,2.614252991,0.761576568,1.036635061,-1.44293717,-0.148575752,0.758385968,0.894488591,0.742908987,1.297623401,0.256061646,0.961008374,1.209567966,1.209567966,0.470362099,0.566235892,0.821823605,1.153666054,0.755358892,0.244164966,0.53738208,0.615600699,8.825884831,0.634844957,93.44099781,0.373040944,1.211319624,0.37218052,0.659890345,0.16324164,1.336361523,9.267580081,0.699738347,41.94267948,NA,0.997608938,0.967756097,1.014093725,0.712942646,0.876769974,1.591230523,1.098642387,1.83248987,1.619230549,1.180354081,1.163260879
"A149",1.305834379,1.106587063,1.156504247,2.642794525,1.09339454,0.662268629,4.335919424,1.414253948,1.623903499,2.691846921,0.775491507,1.036990802,-1.625185801,-0.177769578,0.773243616,0.851102006,0.718085978,1.309659997,0.257444434,0.973094801,1.224766264,1.224766264,0.272180489,0.554720385,0.88098796,1.099288194,0.863869981,0.280275307,0.577185926,0.534836062,9.946418535,0.684486189,108.748555,0.393417818,1.196376679,0.345655768,0.648319857,0.212565687,1.324387166,9.673550046,0.778232769,47.98640011,2.403982035,1.066271125,1.029804196,0.933722666,0.723837282,0.902431392,1.596008679,1.062503681,1.819992584,1.570684923,1.120525111,1.158293129
"A166",1.250325113,1.113159707,1.122352479,2.641557628,1.086975825,0.621977836,4.28772769,1.477947946,1.756209351,2.934514999,0.783233786,1.046245309,-1.737384052,-0.372394258,0.765216235,0.834234266,0.706649661,1.340678312,0.271648094,0.983420609,1.19617037,1.19617037,0.099769456,0.571584264,0.899586184,1.171822173,0.861634676,0.268795124,0.554819901,0.574097709,9.504245938,0.665723014,94.43839737,0.384076624,1.205878206,0.342457317,0.651862869,0.182808241,1.342648952,9.284337749,0.733975626,47.40446485,2.326139446,0.953358629,1.012351871,0.969053681,0.730748706,0.935296966,1.554664039,1.059366259,1.767569603,1.563444488,1.129464218,1.166657908
"A1716",1.727306915,1.165557654,1.090777963,3.224010302,1.065071739,0.542582311,5.192229135,1.597650343,1.979253556,3.51559879,0.753597333,1.063259633,-1.665269573,-0.709808151,0.754188519,0.890411295,0.668756155,1.595223287,0.314128853,0.976367442,1.164348299,1.164348299,-0.225818154,0.640045205,1.052245854,1.435830787,1.183422228,0.295658553,0.566203979,0.534397023,9.54475431,0.623065525,85.55972147,0.389520566,1.205820509,0.388328837,0.637935822,0.217970828,1.342944749,10.26066316,0.780317159,40.80663124,2.169186795,0.953536132,1.000089976,0.993171585,0.722277958,0.930446007,1.55060969,1.125493211,1.731633171,1.673859366,1.109804186,1.121531358
"A173",1.500511199,1.10924142,1.140873517,2.675946491,1.086177329,0.626313246,4.994710334,1.490757894,1.740914203,2.900771076,0.77488776,1.063633319,-1.712250152,-0.412668884,0.761943381,0.870508716,0.702276159,1.369189023,0.266418588,0.976082994,1.210754482,1.210754482,0.098262301,0.573462645,0.906607609,1.192038024,0.962008297,0.268131489,0.567564374,0.559162328,9.600932807,0.660600483,118.7484035,0.380491191,1.203650823,0.343228949,0.645862517,0.246250652,1.345732396,9.682654714,0.762332723,44.91378419,2.310503864,1.225865135,0.993069147,0.972561158,0.738588288,0.913396753,1.317772558,1.052733594,1.721609584,1.607551755,1.105022507,1.145682119
"A178",1.253969972,1.145334404,1.177261787,2.805231197,1.086377523,0.76877372,5.07426992,1.457391803,1.742926923,2.887199988,0.777505765,1.050293031,-1.608315203,-0.050446912,0.755423829,0.86699269,0.715507786,1.346579933,0.261935074,0.973104048,1.229999961,1.229999961,0.458550661,0.576058899,0.980769497,1.166352231,0.875800092,0.280999185,0.55686559,0.560919953,9.978705483,0.687629982,121.8964843,0.393418888,1.203093274,0.357112044,0.653130301,0.192672079,1.294355528,11.04075173,0.824484508,42.98627995,2.943775875,1.28104575,1.00638052,0.98343122,0.74908532,0.912051778,1.445136751,1.069160723,1.931201927,1.596042259,1.12177852,1.148101299
"A1859",1.454730582,1.143633554,1.117784398,3.024522487,1.06985552,0.631002894,5.932699575,1.605336341,1.919108259,3.289534632,0.763521996,1.058838001,-1.486060972,-0.482756357,0.774200101,0.930760015,0.70803478,1.452087033,0.287099855,0.961910234,1.195896299,1.195896299,0.0631952,0.622120401,0.992885266,1.323169247,1.006789824,0.249883717,0.552329414,0.593753348,9.448317238,0.628438865,114.3925041,0.375541897,1.206203891,0.401092327,0.656606549,0.203595321,1.330935644,9.916463191,0.805586398,37.85028589,2.523100232,1.313455302,0.95351557,1.015943736,0.752322756,0.91802692,1.473546796,1.132678164,1.767667404,1.708980944,1.164072993,1.139844471
"A1867",1.497652217,1.139428792,1.166698416,3.023890296,1.074800031,0.573788843,5.452462971,1.512068791,1.788134851,3.048927124,0.770477307,1.060677076,-1.758934714,-0.456616062,0.767903664,0.881159918,0.704257018,1.399589572,0.28047047,0.975169758,1.229280629,1.229280629,-0.022605941,0.610008204,1.014310281,1.230716849,0.99288279,0.271824078,0.56309446,0.560520942,9.709239043,0.653451619,107.3516608,0.400303031,1.19505034,0.355828953,0.663474977,0.218110507,1.325084526,12.34616398,0.823696195,39.53179283,2.156706673,1.215510137,1.004789099,0.966914896,0.729269161,0.924165059,1.407826663,1.060696148,1.75412947,1.627032972,1.137709897,1.153733525
"A1925",1.406779546,1.130271646,1.170571487,2.831020496,1.07496999,0.649073284,4.262304871,1.461612302,1.748443129,3.02253215,0.781489125,1.05649814,-1.441226073,-0.270909028,0.763528732,0.910180181,0.70304271,1.350028588,0.271228859,0.965824496,1.233843426,1.233843426,0.197979865,0.602371124,0.906817947,1.171005996,0.935059619,0.278234578,0.558140557,0.561442941,9.309964352,0.616864428,79.78564123,0.411047326,1.193343779,0.395527198,0.669947703,0.213369819,1.321860135,11.49947955,0.798788576,37.11066807,2.450719027,0.955607441,1.020179761,0.966907595,0.749452962,0.931598398,1.415187231,1.120850618,1.831280725,1.658596018,1.11676369,1.16106861
"A2",1.437586962,1.087713022,1.143047054,2.559740608,1.080287146,0.692580829,4.136824721,1.358744155,1.583880484,2.744641055,0.777948966,1.052234283,-1.293542693,-0.186461897,0.793592626,0.870237052,0.721382685,1.284244678,0.264387526,0.974272126,1.234885078,1.234885078,0.292906604,0.577467824,0.810893931,1.058537812,0.88879378,0.30149453,0.57548768,0.517157461,8.878668486,0.573402156,82.7012019,0.433826772,1.181970501,0.397536492,0.670446234,0.23022268,1.364729056,9.497935588,0.722208337,38.62958835,2.564837164,0.93127552,1.089951931,0.900083417,0.712016431,0.914694016,1.426410831,1.144386854,1.848738057,1.604176407,1.150586845,1.181785148
"A2057",1.586405676,1.168158367,1.14187491,2.85487938,1.07183078,0.587726849,5.614446947,1.49011706,1.722472836,3.236007197,0.780442868,1.054764131,-1.414764046,-0.447068333,0.758752279,0.896781236,0.699289317,1.404954342,0.286800014,0.968388816,1.205383142,1.205383142,0.014762003,0.616451364,0.993259222,1.208796557,1.007529139,0.276874437,0.580999848,0.533204226,9.055443512,0.635962962,108.8243069,0.410904748,1.185596744,0.407111755,0.664728518,0.228375504,1.303928939,11.14887625,0.755000965,39.07124065,2.290743388,1.219372618,1.029742307,0.927386123,0.74441037,0.949098668,1.524488692,1.149183902,1.787063001,1.654072069,1.142885518,1.159714333
"A2150",1.519984129,1.164354211,1.160583458,2.78853776,1.069493725,0.574427003,5.356274235,1.512420298,1.726611752,3.265908597,0.773018225,1.052904048,-1.490768569,-0.526891209,0.76214872,0.8980453,0.712152542,1.447908724,0.28859682,0.96874693,1.216138814,1.216138814,-0.058666549,0.622235599,0.975975943,1.24154804,1.008014107,0.278689843,0.590196037,0.516094675,8.730022166,0.617851185,97.70573519,0.408221698,1.183709571,0.401072707,0.658096578,0.213528673,1.309657706,12.49299199,0.731681737,37.76795344,2.207069309,1.129931773,1.019544154,0.924710577,0.746024768,0.938233362,1.561001797,1.133345994,1.743092327,1.659537967,1.183673018,1.143504897
"A2187",1.487385711,1.098977669,1.157290851,2.536567419,1.079657105,0.710042141,4.736109131,1.398976044,1.677589865,2.873707237,0.793485268,1.057203813,-1.494400536,-0.306014865,0.784390268,0.887798594,0.69949818,1.310599919,0.261576101,0.975042804,1.239642343,1.239642343,0.248701572,0.600337125,0.937364995,1.111822657,0.934151666,0.295153661,0.560654957,0.543220311,8.820614532,0.633096554,105.7038927,0.407994206,1.198050548,0.38833834,0.656230503,0.247536136,1.342110407,9.778383203,0.712597935,36.8893839,2.568212493,1.123286862,1.046723172,0.952496938,0.745568538,0.936443791,1.343359983,1.119005435,1.748955661,1.619051138,1.082016358,1.16265667
"A223",1.295173297,1.152865853,1.12060046,2.78499076,1.080688804,0.613987,4.695286378,1.514329342,1.782730699,3.025563545,0.78765778,1.052354377,-1.640982594,-0.390351617,0.762088937,0.873816159,0.718276608,1.376745527,0.28010994,0.974089202,1.194164667,1.194164667,0.084874967,0.591057249,0.985228711,1.214235243,0.900285055,0.262893375,0.559556668,0.573943418,9.452887306,0.665036098,97.33973883,0.383376367,1.202063444,0.360337248,0.655917618,0.184722205,1.312298793,9.668526632,0.758657128,44.77095656,2.345627387,1.028870387,0.999678591,0.966896117,0.725761497,0.95830129,1.52625025,1.085724015,1.794159023,1.621380506,1.166506694,1.163889489
