"chromosome_name"	"start_position"	"end_position"	"ensembl_gene_id"
"1"	1	175782	178400	"AT1G01480"
"2"	1	518251	520437	"AT1G02500"
"3"	1	2011885	2013545	"AT1G06570"
"4"	1	2410056	2412677	"AT1G07780"
"5"	1	2588857	2590301	"AT1G08250"
"6"	1	2743761	2747967	"AT1G08630"
"7"	1	3173534	3176910	"AT1G09795"
"8"	1	3288087	3290471	"AT1G10070"
"9"	1	3981248	3985215	"AT1G11790"
"10"	1	5102424	5104695	"AT1G14810"
"11"	1	5404358	5405686	"AT1G15710"
"12"	1	5922630	5926400	"AT1G17290"
"13"	1	5926994	5927784	"AT1G17300"
"14"	1	6100964	6105265	"AT1G17745"
"15"	1	6369347	6373025	"AT1G18500"
"16"	1	6416357	6418690	"AT1G18640"
"17"	1	7754321	7757383	"AT1G22020"
"18"	1	8268404	8271933	"AT1G23310"
"19"	1	8420265	8422985	"AT1G23820"
"20"	1	8771766	8773535	"AT1G24807"
"21"	1	8785785	8787914	"AT1G24909"
"22"	1	8808549	8810443	"AT1G25083"
"23"	1	8822692	8824821	"AT1G25155"
"24"	1	8836835	8839549	"AT1G25220"
"25"	1	10297877	10300005	"AT1G29410"
"26"	1	10468054	10472211	"AT1G29900"
"27"	1	11142714	11144633	"AT1G31180"
"28"	1	11158618	11163274	"AT1G31230"
"29"	1	11434108	11436607	"AT1G31860"
"30"	1	11741083	11741990	"AT1G32480"
"31"	1	12081009	12083462	"AT1G33320"
"32"	1	13696042	13698639	"AT1G36370"
"33"	1	17913711	17916098	"AT1G48470"
"34"	1	17940088	17942822	"AT1G48520"
"35"	1	18442882	18445098	"AT1G49820"
"36"	1	18554641	18556794	"AT1G50090"
"37"	1	18558017	18560274	"AT1G50110"
"38"	1	19180772	19186532	"AT1G51720"
"39"	1	19884027	19888369	"AT1G53310"
"40"	1	20283480	20286786	"AT1G54340"
"41"	1	20898898	20901183	"AT1G55880"
"42"	1	20912116	20913447	"AT1G55920"
"43"	1	21504314	21507540	"AT1G58080"
"44"	1	23253703	23257463	"AT1G62800"
"45"	1	23318187	23320316	"AT1G62960"
"46"	1	24538886	24542129	"AT1G65930"
"47"	1	24655210	24657683	"AT1G66200"
"48"	1	25693449	25695476	"AT1G68490"
"49"	1	25822942	25828107	"AT1G68750"
"50"	1	26079956	26081727	"AT1G69370"
"51"	1	26485306	26487435	"AT1G70310"
"52"	1	26604855	26607503	"AT1G70560"
"53"	1	26608625	26612309	"AT1G70570"
"54"	1	26612632	26616069	"AT1G70580"
"55"	1	27066948	27069166	"AT1G71920"
"56"	1	27233475	27236789	"AT1G72330"
"57"	1	27398591	27400417	"AT1G72810"
"58"	1	27842171	27845776	"AT1G74040"
"59"	1	28266259	28268412	"AT1G75330"
"60"	1	29188901	29190975	"AT1G77670"
"61"	1	30287763	30290298	"AT1G80560"
"62"	1	30298499	30300553	"AT1G80600"
"63"	2	1114127	1117439	"AT2G03667"
"64"	2	1531148	1533737	"AT2G04400"
"65"	2	2141399	2146678	"AT2G05710"
"66"	2	2229602	2232106	"AT2G05830"
"67"	2	4484720	4485308	"AT2G11270"
"68"	2	5539240	5541358	"AT2G13360"
"69"	2	5768446	5772259	"AT2G13810"
"70"	2	7161922	7162580	"AT2G16520"
"71"	2	7460814	7462554	"AT2G17130"
"72"	2	7508588	7509755	"AT2G17265"
"73"	2	7666585	7668065	"AT2G17630"
"74"	2	7668078	7670495	"AT2G17640"
"75"	2	8612926	8616018	"AT2G19940"
"76"	2	9457810	9460919	"AT2G22250"
"77"	2	9717791	9719472	"AT2G22810"
"78"	2	9748771	9749542	"AT2G22905"
"79"	2	9749869	9752863	"AT2G22910"
"80"	2	11231800	11233295	"AT2G26400"
"81"	2	11856768	11858288	"AT2G27820"
"82"	2	12693871	12696975	"AT2G29690"
"83"	2	13178840	13181931	"AT2G30970"
"84"	2	13524221	13528557	"AT2G31810"
"85"	2	15193694	15195538	"AT2G36230"
"86"	2	15479366	15481412	"AT2G36880"
"87"	2	15739783	15742838	"AT2G37500"
"88"	2	16083689	16086349	"AT2G38400"
"89"	2	16598072	16603319	"AT2G39800"
"90"	2	17177664	17188751	"AT2G41220"
"91"	2	17734324	17739085	"AT2G42600"
"92"	2	17801471	17806049	"AT2G42790"
"93"	2	17918927	17920429	"AT2G43090"
"94"	2	17920660	17921689	"AT2G43100"
"95"	2	18129435	18132637	"AT2G43750"
"96"	2	18221769	18224104	"AT2G44040"
"97"	2	18316278	18320789	"AT2G44350"
"98"	2	18730840	18733015	"AT2G45440"
"99"	3	38759	41932	"AT3G01120"
"100"	3	340546	343835	"AT3G02020"
"101"	3	508886	511561	"AT3G02470"
"102"	3	877928	880446	"AT3G03630"
"103"	3	957085	960980	"AT3G03780"
"104"	3	1006842	1009018	"AT3G03910"
"105"	3	1217239	1219771	"AT3G04520"
"106"	3	1365165	1367759	"AT3G04940"
"107"	3	1471397	1475784	"AT3G05190"
"108"	3	2435445	2437965	"AT3G07630"
"109"	3	2696559	2699158	"AT3G08860"
"110"	3	3008694	3011437	"AT3G09810"
"111"	3	4214617	4216302	"AT3G13110"
"112"	3	4806725	4809433	"AT3G14390"
"113"	3	5025238	5029710	"AT3G14940"
"114"	3	5952187	5954084	"AT3G17390"
"115"	3	6094098	6096566	"AT3G17810"
"116"	3	6097414	6099595	"AT3G17820"
"117"	3	6752531	6754785	"AT3G19480"
"118"	3	6846969	6849497	"AT3G19710"
"119"	3	7109949	7111824	"AT3G20390"
"120"	3	7951055	7953223	"AT3G22425"
"121"	3	7963537	7965907	"AT3G22460"
"122"	3	8032959	8035809	"AT3G22740"
