Gene ID,Gene Accession,Gene name,Reaction id,Reaction EC,Enzymatic activity,Evidence,
AT1G72330,AT1G72330.3,AOAT3,ALANINE-AMINOTRANSFERASE-RXN,2.6.1.2,alanine transaminase,EV-COMP,
GQT-4655,AT1G17300.1,AT1G17300.1,ALANINE-AMINOTRANSFERASE-RXN,2.6.1.2,alanine transaminase,EV-COMP,
AT1G70560,AT1G70560.1,TAA1,ALANINE-AMINOTRANSFERASE-RXN,2.6.1.2,L-alanine:2-oxoglutarate aminotransferase,EV-EXP,
AT1G23310,AT1G23310.1,AOAT1,ALANINE-AMINOTRANSFERASE-RXN,2.6.1.2,alanine transaminase,EV-EXP,
AT1G17290,AT1G17290.1,AOAT4,ALANINE-AMINOTRANSFERASE-RXN,2.6.1.2,alanine transaminase,EV-EXP,
AT1G70580,AT1G70580.1,AOAT2,ALANINE-AMINOTRANSFERASE-RXN,2.6.1.2,alanine transaminase,EV-EXP,
AT2G22910,AT2G22910.1,AT2G22910.1,N-ACETYLTRANSFER-RXN,2.3.1.1,amino-acid N-acetyltransferase,EV-COMP,
GQT-4128,AT2G22905.1,AT2G22905.1,N-ACETYLTRANSFER-RXN,2.3.1.1,amino-acid N-acetyltransferase,EV-COMP,
GQT-4923,AT5G67430.1,AT5G67430.1,N-ACETYLTRANSFER-RXN,2.3.1.1,amino-acid N-acetyltransferase,EV-COMP,
AT1G29900,AT1G29900.1,AT1G29900.1,CARBPSYN-RXN,6.3.5.5,carbamoylphosphate synthase,EV-AS,
AT3G27740,AT3G27740.1,AT3G27740.1,CARBPSYN-RXN,6.3.5.5,carbamoylphosphate synthase,EV-AS,
AT1G80600,AT1G80600.1,AT1G80600.1,ACETYLORNTRANSAM-RXN,2.6.1.11,acetylornithine transaminase,EV-COMP,
AT2G37500,AT2G37500.1,AT2G37500.1,GLUTAMATE-N-ACETYLTRANSFERASE-RXN,2.3.1.35,glutamate N-acetyltransferase,EV-COMP,
AT3G57560,AT3G57560.1,AT3G57560.1,ACETYLGLUTKIN-RXN,2.7.2.8,acetylglutamate kinase,EV-EXP,
AT2G19940,AT2G19940.1,AT2G19940.1,N-ACETYLGLUTPREDUCT-RXN,1.2.1.38,N-acetyl-gamma-glutamyl-phosphate reductase,EV-COMP,
AT1G75330,AT1G75330.1,OTC,ORNCARBAMTRANSFER-RXN,2.1.3.3,ornithine carbamoyltransferase,EV-EXP,
AT4G24830,AT4G24830.1,AT4G24830.1,ARGSUCCINSYN-RXN,6.3.4.5,argininosuccinate synthase,EV-COMP,
AT5G10920,AT5G10920.1,AT5G10920.1,ARGSUCCINLYA-RXN,4.3.2.1,argininosuccinate lyase,EV-COMP,
AT3G47450,AT3G47450.1,AT3G47450.1,NITRIC-OXIDE-SYNTHASE-RXN,1.14.13.39,nitric-oxide synthase,EV-COMP,
GQT-2476,AT4G10620.1,AT4G10620.1,NITRIC-OXIDE-SYNTHASE-RXN,1.14.13.39,nitric-oxide synthase,EV-COMP,
GQT-470,AT3G57180.1,AT3G57180.1,NITRIC-OXIDE-SYNTHASE-RXN,1.14.13.39,nitric-oxide synthase,EV-COMP,
AT4G24830,AT4G24830.1,AT4G24830.1,ARGSUCCINSYN-RXN,6.3.4.5,argininosuccinate synthase,EV-COMP,
AT5G10920,AT5G10920.1,AT5G10920.1,ARGSUCCINLYA-RXN,4.3.2.1,argininosuccinate lyase,EV-COMP,
AT1G29900,AT1G29900.1,AT1G29900.1,CARBPSYN-RXN,6.3.5.5,carbamoylphosphate synthase,EV-AS,
AT3G27740,AT3G27740.1,AT3G27740.1,CARBPSYN-RXN,6.3.5.5,carbamoylphosphate synthase,EV-AS,
AT4G37670,AT4G37670.2,AT4G37670.2,N-ACETYLTRANSFER-RXN,2.3.1.1,amino-acid N-acetyltransferase,EV-COMP,
AT2G37500,AT2G37500.1,AT2G37500.1,N-ACETYLTRANSFER-RXN,2.3.1.1,amino-acid N-acetyltransferase,EV-COMP,
AT2G22910,AT2G22910.1,AT2G22910.1,N-ACETYLTRANSFER-RXN,2.3.1.1,amino-acid N-acetyltransferase,EV-COMP,
GQT-4128,AT2G22905.1,AT2G22905.1,N-ACETYLTRANSFER-RXN,2.3.1.1,amino-acid N-acetyltransferase,EV-COMP,
GQT-4923,AT5G67430.1,AT5G67430.1,N-ACETYLTRANSFER-RXN,2.3.1.1,amino-acid N-acetyltransferase,EV-COMP,
AT3G57560,AT3G57560.1,AT3G57560.1,ACETYLGLUTKIN-RXN,2.7.2.8,acetylglutamate kinase,EV-EXP,
