"chromosome_name"	"start_position"	"end_position"	"ensembl_gene_id"
"1"	1	518251	520437	"AT1G02500"
"2"	1	552138	552761	"AT1G02590"
"3"	1	739679	744184	"AT1G03090"
"4"	1	1189078	1191412	"AT1G04410"
"5"	1	2003627	2007190	"AT1G06550"
"6"	1	2011885	2013545	"AT1G06570"
"7"	1	3284239	3287107	"AT1G10060"
"8"	1	3288087	3290471	"AT1G10070"
"9"	1	4001113	4003442	"AT1G11860"
"10"	1	4072752	4076207	"AT1G12050"
"11"	1	5922630	5926400	"AT1G17290"
"12"	1	5926994	5927784	"AT1G17300"
"13"	1	8268404	8271933	"AT1G23310"
"14"	1	10435374	10437506	"AT1G29810"
"15"	1	17717133	17719141	"AT1G48030"
"16"	1	18554641	18556794	"AT1G50090"
"17"	1	18558017	18560274	"AT1G50110"
"18"	1	18821267	18823077	"AT1G50780"
"19"	1	19854615	19856937	"AT1G53240"
"20"	1	22462026	22465424	"AT1G60990"
"21"	1	23253703	23257463	"AT1G62800"
"22"	1	23318187	23320316	"AT1G62960"
"23"	1	24028918	24030780	"AT1G64660"
"24"	1	24552003	24557730	"AT1G65960"
"25"	1	26604855	26607503	"AT1G70560"
"26"	1	26612632	26616069	"AT1G70580"
"27"	1	27233475	27236789	"AT1G72330"
"28"	1	29882210	29887412	"AT1G79440"
"29"	2	469370	472070	"AT2G02000"
"30"	2	474165	476594	"AT2G02010"
"31"	2	626842	628676	"AT2G02380"
"32"	2	628899	631114	"AT2G02390"
"33"	2	1114127	1117439	"AT2G03667"
"34"	2	7150622	7153339	"AT2G16500"
"35"	2	9457810	9460919	"AT2G22250"
"36"	2	9689415	9692154	"AT2G22780"
"37"	2	11109003	11113828	"AT2G26080"
"38"	2	11429022	11432732	"AT2G26800"
"39"	2	11601754	11608450	"AT2G27150"
"40"	2	13053777	13056380	"AT2G30650"
"41"	2	13058250	13061673	"AT2G30660"
"42"	2	13178840	13181931	"AT2G30970"
"43"	2	14805639	14807369	"AT2G35120"
"44"	2	14891102	14892218	"AT2G35370"
"45"	2	15479366	15481412	"AT2G36880"
"46"	2	17177664	17188751	"AT2G41220"
"47"	3	508886	511561	"AT3G02470"
"48"	3	1006842	1009018	"AT3G03910"
"49"	3	1471397	1475784	"AT3G05190"
"50"	3	2157974	2160623	"AT3G06850"
"51"	3	2161869	2166349	"AT3G06860"
"52"	3	4382198	4384436	"AT3G13450"
"53"	3	5056068	5058248	"AT3G15020"
"54"	3	5471735	5473276	"AT3G16150"
"55"	3	5889872	5892252	"AT3G17240"
"56"	3	5952187	5954084	"AT3G17390"
"57"	3	6062446	6063483	"AT3G17720"
"58"	3	6078812	6081355	"AT3G17760"
"59"	3	6846969	6849497	"AT3G19710"
"60"	3	7109949	7111824	"AT3G20390"
"61"	3	7835144	7839061	"AT3G22200"
"62"	3	8587664	8589713	"AT3G23810"
"63"	3	9271800	9273615	"AT3G25530"
"64"	3	12448636	12451248	"AT3G30775"
"65"	3	15512607	15517506	"AT3G43600"
"66"	3	16620203	16625048	"AT3G45300"
"67"	3	17483068	17486347	"AT3G47450"
"68"	3	17513274	17515041	"AT3G47520"
"69"	3	18422649	18425693	"AT3G49680"
"70"	3	19959856	19960446	"AT3G53910"
"71"	3	21163545	21166138	"AT3G57180"
"72"	3	22356952	22360147	"AT3G60510"
"73"	4	252766	255054	"AT4G00590"
"74"	4	796097	798286	"AT4G01850"
"75"	4	5646439	5648727	"AT4G08870"
"76"	4	5703347	5705346	"AT4G08900"
"77"	4	6564279	6566504	"AT4G10620"
"78"	4	7021770	7023318	"AT4G11640"
"79"	4	8054861	8057181	"AT4G13940"
"80"	4	9454816	9457039	"AT4G16800"
"81"	4	11198389	11201087	"AT4G20930"
"82"	4	12792873	12795974	"AT4G24830"
"83"	4	15387120	15390396	"AT4G31810"
"84"	4	15470751	15473856	"AT4G31990"
"85"	4	15926670	15931332	"AT4G33010"
"86"	4	15985189	15991538	"AT4G33150"
"87"	4	16301179	16304099	"AT4G34030"
"88"	4	16560062	16562969	"AT4G34710"
"89"	4	17197212	17200921	"AT4G36400"
"90"	5	2355937	2358194	"AT5G07440"
"91"	5	2593050	2594651	"AT5G08100"
"92"	5	2884179	2886863	"AT5G09300"
"93"	5	2993444	2995675	"AT5G09660"
"94"	5	3441752	3444142	"AT5G10920"
"95"	5	3685089	3687764	"AT5G11520"
"96"	5	4785960	4787839	"AT5G14800"
"97"	5	5205869	5208036	"AT5G15950"
"98"	5	5711012	5715075	"AT5G17330"
"99"	5	6006039	6008472	"AT5G18170"
"100"	5	6598017	6601819	"AT5G19550"
"101"	5	7116738	7122774	"AT5G20960"
"102"	5	9676334	9682940	"AT5G27410"
"103"	5	10030406	10032451	"AT5G28030"
"104"	5	14233110	14235151	"AT5G36160"
"105"	5	15501245	15504109	"AT5G38710"
"106"	5	17390433	17392645	"AT5G43330"
"107"	5	18718475	18721375	"AT5G46180"
"108"	5	19331547	19334427	"AT5G47720"
"109"	5	19552142	19555529	"AT5G48230"
"110"	5	20778132	20779464	"AT5G51110"
"111"	5	20997413	21001046	"AT5G51690"
"112"	5	21910533	21912777	"AT5G53970"
"113"	5	21945869	21948913	"AT5G54080"
"114"	5	22945537	22946718	"AT5G56720"
"115"	5	24336623	24338802	"AT5G60540"
"116"	5	25099003	25103298	"AT5G62530"
"117"	5	26311311	26318812	"AT5G65780"
"118"	5	26376610	26379235	"AT5G65940"
